,Unnamed: 0,Club,League,Value Aug 1 of Year,Season,cleaned_new_club,longest_word_team
94,15,Nottingham Forest,Championship,64200000.0,2019/ 2020,nottingham forest,n nottingham f
95,16,Everton FC,Premier League,440000000.0,2019/ 2020,everton,e everton e
96,17,Fulham FC,Championship,158000000.0,2019/ 2020,fulham,f fulham f
97,18,Southampton FC,Premier League,294500000.0,2019/ 2020,southampton,s southampton s
98,19,Leicester City,Premier League,439000000.0,2019/ 2020,leicester city,l leicester c
100,1,Burnley FC,Premier League,193850000.0,2023/ 2024,burnley,b burnley b
101,2,Leeds United,Championship,233400000.0,2023/ 2024,leeds united,l united u
102,3,Luton Town,Premier League,58950000.0,2023/ 2024,luton town,l luton t
103,4,Sheffield United,Premier League,104500000.0,2023/ 2024,sheffield united,s sheffield u
104,5,Sunderland AFC,Championship,59450000.0,2023/ 2024,sunderland,s sunderland s
105,6,Norwich City,Championship,98300000.0,2023/ 2024,norwich city,n norwich c
106,7,Coventry City,Championship,44300000.0,2023/ 2024,coventry city,c coventry c
107,8,Hull City,Championship,58750000.0,2023/ 2024,hull city,h hull c
108,9,Middlesbrough FC,Championship,59150000.0,2023/ 2024,middlesbrough,m middlesbrough m
109,10,Blackburn Rovers,Championship,56700000.0,2023/ 2024,blackburn rovers,b blackburn r
110,11,Watford FC,Championship,74800000.0,2023/ 2024,watford,w watford w
111,12,West Bromwich Albion,Championship,56800000.0,2023/ 2024,west bromwich albion,w bromwich a
112,13,Bristol City,Championship,52250000.0,2023/ 2024,bristol city,b bristol c
113,14,Stoke City,Championship,46800000.0,2023/ 2024,stoke city,s stoke c
114,15,Cardiff City,Championship,48100000.0,2023/ 2024,cardiff city,c cardiff c
115,16,Preston North End,Championship,41150000.0,2023/ 2024,preston north end,p preston e
116,17,Swansea City,Championship,56900000.0,2023/ 2024,swansea city,s swansea c
117,18,Plymouth Argyle,Championship,13430000.0,2023/ 2024,plymouth argyle,p plymouth a
118,19,Queens Park Rangers,Championship,34400000.0,2023/ 2024,queens park rangers,q rangers r
119,20,Millwall FC,Championship,35550000.0,2023/ 2024,millwall,m millwall m
120,21,Sheffield Wednesday,Championship,12650000.0,2023/ 2024,sheffield wednesday,s sheffield w
124,1,Burnley FC,Championship,64080000.0,2022/ 2023,burnley,b burnley b
125,2,Leeds United,Premier League,279500000.0,2022/ 2023,leeds united,l united u
126,3,Luton Town,Championship,30950000.0,2022/ 2023,luton town,l luton t
127,4,Sheffield United,Championship,82300000.0,2022/ 2023,sheffield united,s sheffield u
128,5,Sunderland AFC,Championship,22600000.0,2022/ 2023,sunderland,s sunderland s
129,6,Norwich City,Championship,114600000.0,2022/ 2023,norwich city,n norwich c
130,7,Coventry City,Championship,26550000.0,2022/ 2023,coventry city,c coventry c
131,8,Hull City,Championship,36300000.0,2022/ 2023,hull city,h hull c
132,9,Middlesbrough FC,Championship,53750000.0,2022/ 2023,middlesbrough,m middlesbrough m
133,10,Blackburn Rovers,Championship,38450000.0,2022/ 2023,blackburn rovers,b blackburn r
134,11,Watford FC,Championship,127000000.0,2022/ 2023,watford,w watford w
135,12,West Bromwich Albion,Championship,83300000.0,2022/ 2023,west bromwich albion,w bromwich a
136,13,Bristol City,Championship,32650000.0,2022/ 2023,bristol city,b bristol c
137,14,Stoke City,Championship,42050000.0,2022/ 2023,stoke city,s stoke c
138,15,Cardiff City,Championship,29850000.0,2022/ 2023,cardiff city,c cardiff c
139,16,Preston North End,Championship,43550000.0,2022/ 2023,preston north end,p preston e
140,17,Swansea City,Championship,41100000.0,2022/ 2023,swansea city,s swansea c
142,19,Queens Park Rangers,Championship,36850000.0,2022/ 2023,queens park rangers,q rangers r
143,20,Millwall FC,Championship,30700000.0,2022/ 2023,millwall,m millwall m
148,1,Burnley FC,Premier League,127700000.0,2021/ 2022,burnley,b burnley b
149,2,Leeds United,Premier League,244950000.0,2021/ 2022,leeds united,l united u
150,3,Luton Town,Championship,20450000.0,2021/ 2022,luton town,l luton t
151,4,Sheffield United,Championship,125600000.0,2021/ 2022,sheffield united,s sheffield u
153,6,Norwich City,Premier League,128300000.00000001,2021/ 2022,norwich city,n norwich c
154,7,Coventry City,Championship,14000000.0,2021/ 2022,coventry city,c coventry c
155,8,Hull City,Championship,10950000.0,2021/ 2022,hull city,h hull c
156,9,Middlesbrough FC,Championship,38400000.0,2021/ 2022,middlesbrough,m middlesbrough m
157,10,Blackburn Rovers,Championship,53250000.0,2021/ 2022,blackburn rovers,b blackburn r
158,11,Watford FC,Premier League,140000000.0,2021/ 2022,watford,w watford w
159,12,West Bromwich Albion,Championship,89750000.0,2021/ 2022,west bromwich albion,w bromwich a
160,13,Bristol City,Championship,41850000.0,2021/ 2022,bristol city,b bristol c
161,14,Stoke City,Championship,42200000.0,2021/ 2022,stoke city,s stoke c
162,15,Cardiff City,Championship,40050000.0,2021/ 2022,cardiff city,c cardiff c
163,16,Preston North End,Championship,33650000.0,2021/ 2022,preston north end,p preston e
164,17,Swansea City,Championship,37250000.0,2021/ 2022,swansea city,s swansea c
166,19,Queens Park Rangers,Championship,33600000.0,2021/ 2022,queens park rangers,q rangers r
167,20,Millwall FC,Championship,34600000.0,2021/ 2022,millwall,m millwall m
169,22,Derby County,Championship,33350000.0,2021/ 2022,derby county,d county c
172,1,Burnley FC,Premier League,154030000.0,2020/ 2021,burnley,b burnley b
173,2,Leeds United,Championship,64849999.99999999,2020/ 2021,leeds united,l united u
174,3,Luton Town,Championship,11800000.0,2020/ 2021,luton town,l luton t
175,4,Sheffield United,Premier League,130350000.0,2020/ 2021,sheffield united,s sheffield u
177,6,Norwich City,Premier League,138130000.0,2020/ 2021,norwich city,n norwich c
179,8,Hull City,Championship,13030000.0,2020/ 2021,hull city,h hull c
180,9,Middlesbrough FC,Championship,42680000.0,2020/ 2021,middlesbrough,m middlesbrough m
181,10,Blackburn Rovers,Championship,25930000.0,2020/ 2021,blackburn rovers,b blackburn r
182,11,Watford FC,Premier League,198330000.0,2020/ 2021,watford,w watford w
183,12,West Bromwich Albion,Championship,62780000.0,2020/ 2021,west bromwich albion,w bromwich a
184,13,Bristol City,Championship,53800000.0,2020/ 2021,bristol city,b bristol c
185,14,Stoke City,Championship,64430000.00000001,2020/ 2021,stoke city,s stoke c
186,15,Cardiff City,Championship,47800000.0,2020/ 2021,cardiff city,c cardiff c
187,16,Preston North End,Championship,30250000.0,2020/ 2021,preston north end,p preston e
188,17,Swansea City,Championship,36980000.0,2020/ 2021,swansea city,s swansea c
190,19,Queens Park Rangers,Championship,24250000.0,2020/ 2021,queens park rangers,q rangers r
191,20,Millwall FC,Championship,20630000.0,2020/ 2021,millwall,m millwall m
192,21,Sheffield Wednesday,Championship,23980000.0,2020/ 2021,sheffield wednesday,s sheffield w
193,22,Derby County,Championship,44150000.0,2020/ 2021,derby county,d county c
196,1,Burnley FC,Premier League,203250000.0,2019/ 2020,burnley,b burnley b
197,2,Leeds United,Championship,88000000.0,2019/ 2020,leeds united,l united u
198,3,Luton Town,Championship,10900000.0,2019/ 2020,luton town,l luton t
199,4,Sheffield United,Premier League,56500000.0,2019/ 2020,sheffield united,s sheffield u
201,6,Norwich City,Premier League,85400000.0,2019/ 2020,norwich city,n norwich c
203,8,Hull City,Championship,40950000.0,2019/ 2020,hull city,h hull c
204,9,Middlesbrough FC,Championship,59350000.0,2019/ 2020,middlesbrough,m middlesbrough m
205,10,Blackburn Rovers,Championship,37550000.0,2019/ 2020,blackburn rovers,b blackburn r
206,11,Watford FC,Premier League,235050000.0,2019/ 2020,watford,w watford w
207,12,West Bromwich Albion,Championship,72750000.0,2019/ 2020,west bromwich albion,w bromwich a
208,13,Bristol City,Championship,54550000.0,2019/ 2020,bristol city,b bristol c
209,14,Stoke City,Championship,126500000.0,2019/ 2020,stoke city,s stoke c
210,15,Cardiff City,Championship,86900000.0,2019/ 2020,cardiff city,c cardiff c
211,16,Preston North End,Championship,27200000.0,2019/ 2020,preston north end,p preston e
212,17,Swansea City,Championship,55850000.0,2019/ 2020,swansea city,s swansea c
214,19,Queens Park Rangers,Championship,32450000.000000004,2019/ 2020,queens park rangers,q rangers r
215,20,Millwall FC,Championship,19650000.0,2019/ 2020,millwall,m millwall m
216,21,Sheffield Wednesday,Championship,36430000.0,2019/ 2020,sheffield wednesday,s sheffield w
217,22,Derby County,Championship,51450000.0,2019/ 2020,derby county,d county c
220,1,Real Madrid,La Liga,980000000.0,2023/ 2024,real madrid,r madrid m
221,2,FC Barcelona,La Liga,854000000.0,2023/ 2024,barcelona,b barcelona b
222,3,Real Sociedad,La Liga,360550000.0,2023/ 2024,real sociedad,r sociedad s
223,4,Atlético de Madrid,La Liga,532700000.00000006,2023/ 2024,atletico de madrid,a atletico m
224,5,Athletic Bilbao,La Liga,216400000.0,2023/ 2024,athletic bilbao,a athletic b
225,6,Valencia CF,La Liga,167500000.0,2023/ 2024,valencia,v valencia v
226,7,Villarreal CF,La Liga,209700000.0,2023/ 2024,villarreal,v villarreal v
227,8,Girona FC,La Liga,109300000.0,2023/ 2024,girona,g girona g
228,9,Sevilla FC,La Liga,206350000.0,2023/ 2024,sevilla,s sevilla s
229,10,Real Betis Balompié,La Liga,229900000.0,2023/ 2024,real betis balompie,r balompie b
230,11,CA Osasuna,La Liga,135600000.0,2023/ 2024,osasuna,o osasuna o
231,12,UD Las Palmas,La Liga,32000000.0,2023/ 2024,las palmas,l palmas p
232,13,Celta de Vigo,La Liga,145300000.0,2023/ 2024,celta de vigo,c celta v
233,14,RCD Mallorca,La Liga,74300000.0,2023/ 2024,mallorca,m mallorca m
234,15,Getafe CF,La Liga,118800000.0,2023/ 2024,getafe,g getafe g
235,16,Deportivo Alavés,La Liga,29350000.0,2023/ 2024,deportivo alaves,d deportivo a
236,17,Rayo Vallecano,La Liga,71800000.0,2023/ 2024,rayo vallecano,r vallecano v
237,18,Real Valladolid CF,LaLiga2,61950000.0,2023/ 2024,real valladolid,r valladolid v
238,19,RCD Espanyol Barcelona,LaLiga2,80700000.0,2023/ 2024,espanyol barcelona,e barcelona b
239,20,CD Leganés,LaLiga2,13250000.0,2023/ 2024,leganes,l leganes l
240,1,Real Madrid,La Liga,843500000.0,2022/ 2023,real madrid,r madrid m
241,2,FC Barcelona,La Liga,825200000.0,2022/ 2023,barcelona,b barcelona b
242,3,Real Sociedad,La Liga,354800000.0,2022/ 2023,real sociedad,r sociedad s
243,4,Atlético de Madrid,La Liga,676500000.0,2022/ 2023,atletico de madrid,a atletico m
244,5,Athletic Bilbao,La Liga,216100000.0,2022/ 2023,athletic bilbao,a athletic b
245,6,Valencia CF,La Liga,264200000.0,2022/ 2023,valencia,v valencia v
246,7,Villarreal CF,La Liga,359700000.0,2022/ 2023,villarreal,v villarreal v
247,8,Girona FC,La Liga,39150000.0,2022/ 2023,girona,g girona g
248,9,Sevilla FC,La Liga,257600000.00000003,2022/ 2023,sevilla,s sevilla s
249,10,Real Betis Balompié,La Liga,256000000.0,2022/ 2023,real betis balompie,r balompie b
250,11,CA Osasuna,La Liga,115300000.0,2022/ 2023,osasuna,o osasuna o
251,12,UD Las Palmas,LaLiga2,21300000.0,2022/ 2023,las palmas,l palmas p
252,13,Celta de Vigo,La Liga,109050000.0,2022/ 2023,celta de vigo,c celta v
253,14,RCD Mallorca,La Liga,61400000.0,2022/ 2023,mallorca,m mallorca m
254,15,Getafe CF,La Liga,122600000.0,2022/ 2023,getafe,g getafe g
255,16,Deportivo Alavés,LaLiga2,30250000.0,2022/ 2023,deportivo alaves,d deportivo a
256,17,Rayo Vallecano,La Liga,58300000.0,2022/ 2023,rayo vallecano,r vallecano v
257,18,Real Valladolid CF,La Liga,55400000.0,2022/ 2023,real valladolid,r valladolid v
258,19,RCD Espanyol Barcelona,La Liga,120050000.0,2022/ 2023,espanyol barcelona,e barcelona b
259,20,CD Leganés,LaLiga2,22750000.0,2022/ 2023,leganes,l leganes l
260,1,Real Madrid,La Liga,863500000.0,2021/ 2022,real madrid,r madrid m
261,2,FC Barcelona,La Liga,755000000.0,2021/ 2022,barcelona,b barcelona b
262,3,Real Sociedad,La Liga,384000000.0,2021/ 2022,real sociedad,r sociedad s
263,4,Atlético de Madrid,La Liga,729400000.0,2021/ 2022,atletico de madrid,a atletico m
264,5,Athletic Bilbao,La Liga,203500000.0,2021/ 2022,athletic bilbao,a athletic b
265,6,Valencia CF,La Liga,241400000.0,2021/ 2022,valencia,v valencia v
266,7,Villarreal CF,La Liga,306200000.0,2021/ 2022,villarreal,v villarreal v
267,8,Girona FC,LaLiga2,29400000.0,2021/ 2022,girona,g girona g
268,9,Sevilla FC,La Liga,397900000.0,2021/ 2022,sevilla,s sevilla s
269,10,Real Betis Balompié,La Liga,184700000.0,2021/ 2022,real betis balompie,r balompie b
270,11,CA Osasuna,La Liga,81500000.0,2021/ 2022,osasuna,o osasuna o
271,12,UD Las Palmas,LaLiga2,13750000.0,2021/ 2022,las palmas,l palmas p
272,13,Celta de Vigo,La Liga,137500000.0,2021/ 2022,celta de vigo,c celta v
273,14,RCD Mallorca,La Liga,45600000.0,2021/ 2022,mallorca,m mallorca m
274,15,Getafe CF,La Liga,154450000.0,2021/ 2022,getafe,g getafe g
275,16,Deportivo Alavés,La Liga,63950000.0,2021/ 2022,deportivo alaves,d deportivo a
276,17,Rayo Vallecano,La Liga,27900000.0,2021/ 2022,rayo vallecano,r vallecano v
277,18,Real Valladolid CF,LaLiga2,57750000.0,2021/ 2022,real valladolid,r valladolid v
278,19,RCD Espanyol Barcelona,La Liga,72200000.0,2021/ 2022,espanyol barcelona,e barcelona b
279,20,CD Leganés,LaLiga2,25250000.0,2021/ 2022,leganes,l leganes l
280,1,Real Madrid,La Liga,1120000000.0,2020/ 2021,real madrid,r madrid m
281,2,FC Barcelona,La Liga,976000000.0,2020/ 2021,barcelona,b barcelona b
282,3,Real Sociedad,La Liga,314400000.0,2020/ 2021,real sociedad,r sociedad s
283,4,Atlético de Madrid,La Liga,755900000.0,2020/ 2021,atletico de madrid,a atletico m
284,5,Athletic Bilbao,La Liga,214100000.0,2020/ 2021,athletic bilbao,a athletic b
285,6,Valencia CF,La Liga,402730000.0,2020/ 2021,valencia,v valencia v
286,7,Villarreal CF,La Liga,222030000.0,2020/ 2021,villarreal,v villarreal v
287,8,Girona FC,LaLiga2,39430000.0,2020/ 2021,girona,g girona g
288,9,Sevilla FC,La Liga,310000000.0,2020/ 2021,sevilla,s sevilla s
289,10,Real Betis Balompié,La Liga,215400000.0,2020/ 2021,real betis balompie,r balompie b
290,11,CA Osasuna,La Liga,68780000.0,2020/ 2021,osasuna,o osasuna o
291,12,UD Las Palmas,LaLiga2,19380000.0,2020/ 2021,las palmas,l palmas p
292,13,Celta de Vigo,La Liga,120950000.0,2020/ 2021,celta de vigo,c celta v
293,14,RCD Mallorca,La Liga,45230000.0,2020/ 2021,mallorca,m mallorca m
294,15,Getafe CF,La Liga,140950000.0,2020/ 2021,getafe,g getafe g
295,16,Deportivo Alavés,La Liga,76300000.0,2020/ 2021,deportivo alaves,d deportivo a
296,17,Rayo Vallecano,LaLiga2,25680000.0,2020/ 2021,rayo vallecano,r vallecano v
297,18,Real Valladolid CF,La Liga,65730000.00000001,2020/ 2021,real valladolid,r valladolid v
298,19,RCD Espanyol Barcelona,La Liga,116680000.0,2020/ 2021,espanyol barcelona,e barcelona b
299,20,CD Leganés,La Liga,33630000.0,2020/ 2021,leganes,l leganes l
300,1,Real Madrid,La Liga,1190000000.0,2019/ 2020,real madrid,r madrid m
301,2,FC Barcelona,La Liga,1270000000.0,2019/ 2020,barcelona,b barcelona b
302,3,Real Sociedad,La Liga,301300000.0,2019/ 2020,real sociedad,r sociedad s
303,4,Atlético de Madrid,La Liga,829400000.0,2019/ 2020,atletico de madrid,a atletico m
304,5,Athletic Bilbao,La Liga,227300000.0,2019/ 2020,athletic bilbao,a athletic b
305,6,Valencia CF,La Liga,467200000.0,2019/ 2020,valencia,v valencia v
306,7,Villarreal CF,La Liga,216400000.0,2019/ 2020,villarreal,v villarreal v
307,8,Girona FC,LaLiga2,70650000.0,2019/ 2020,girona,g girona g
308,9,Sevilla FC,La Liga,318000000.0,2019/ 2020,sevilla,s sevilla s
309,10,Real Betis Balompié,La Liga,342300000.0,2019/ 2020,real betis balompie,r balompie b
310,11,CA Osasuna,La Liga,36300000.0,2019/ 2020,osasuna,o osasuna o
311,12,UD Las Palmas,LaLiga2,25400000.0,2019/ 2020,las palmas,l palmas p
312,13,Celta de Vigo,La Liga,206300000.0,2019/ 2020,celta de vigo,c celta v
313,14,RCD Mallorca,La Liga,22900000.0,2019/ 2020,mallorca,m mallorca m
314,15,Getafe CF,La Liga,138000000.0,2019/ 2020,getafe,g getafe g
315,16,Deportivo Alavés,La Liga,97650000.0,2019/ 2020,deportivo alaves,d deportivo a
316,17,Rayo Vallecano,LaLiga2,55550000.0,2019/ 2020,rayo vallecano,r vallecano v
317,18,Real Valladolid CF,La Liga,84150000.0,2019/ 2020,real valladolid,r valladolid v
318,19,RCD Espanyol Barcelona,La Liga,154950000.0,2019/ 2020,espanyol barcelona,e barcelona b
319,20,CD Leganés,La Liga,83800000.0,2019/ 2020,leganes,l leganes l
320,1,Inter Milan,Serie A,485150000.0,2023/ 2024,inter milan,i inter m
321,2,AC Milan,Serie A,561250000.0,2023/ 2024,milan,m milan m
322,3,Juventus FC,Serie A,494500000.0,2023/ 2024,juventus,j juventus j
323,4,Atalanta BC,Serie A,375750000.0,2023/ 2024,atalanta,a atalanta a
324,5,SSC Napoli,Serie A,568300000.0,2023/ 2024,napoli,n napoli n
325,6,Bologna FC 1909,Serie A,146250000.0,2023/ 2024,bologna,b bologna b
326,7,AS Roma,Serie A,341950000.0,2023/ 2024,roma,r roma r
327,8,ACF Fiorentina,Serie A,261050000.0,2023/ 2024,fiorentina,f fiorentina f
328,9,SS Lazio,Serie A,221700000.0,2023/ 2024,lazio,l lazio l
329,10,Torino FC,Serie A,155650000.0,2023/ 2024,torino,t torino t
330,11,Genoa CFC,Serie A,82550000.0,2023/ 2024,genoa,g genoa g
331,12,Udinese Calcio,Serie A,154300000.0,2023/ 2024,udinese calcio,u udinese c
332,13,US Lecce,Serie A,81880000.0,2023/ 2024,lecce,l lecce l
333,14,AC Monza,Serie A,117380000.0,2023/ 2024,monza,m monza m
334,15,Parma Calcio 1913,Serie B,52030000.0,2023/ 2024,parma calcio,p calcio c
335,16,Cagliari Calcio,Serie A,48650000.0,2023/ 2024,cagliari calcio,c cagliari c
336,17,Como 1907,Serie B,24430000.0,2023/ 2024,como,c como c
337,18,Hellas Verona,Serie A,70150000.0,2023/ 2024,hellas verona,h hellas v
338,19,Venezia FC,Serie B,30800000.0,2023/ 2024,venezia,v venezia v
339,20,FC Empoli,Serie A,74700000.0,2023/ 2024,empoli,e empoli e
340,1,Inter Milan,Serie A,639500000.0,2022/ 2023,inter milan,i inter m
341,2,AC Milan,Serie A,492050000.0,2022/ 2023,milan,m milan m
342,3,Juventus FC,Serie A,501400000.0,2022/ 2023,juventus,j juventus j
343,4,Atalanta BC,Serie A,365500000.0,2022/ 2023,atalanta,a atalanta a
344,5,SSC Napoli,Serie A,445980000.0,2022/ 2023,napoli,n napoli n
345,6,Bologna FC 1909,Serie A,103600000.0,2022/ 2023,bologna,b bologna b
346,7,AS Roma,Serie A,411850000.0,2022/ 2023,roma,r roma r
347,8,ACF Fiorentina,Serie A,256350000.00000003,2022/ 2023,fiorentina,f fiorentina f
348,9,SS Lazio,Serie A,275200000.0,2022/ 2023,lazio,l lazio l
349,10,Torino FC,Serie A,108080000.0,2022/ 2023,torino,t torino t
350,11,Genoa CFC,Serie B,70700000.0,2022/ 2023,genoa,g genoa g
351,12,Udinese Calcio,Serie A,115000000.0,2022/ 2023,udinese calcio,u udinese c
352,13,US Lecce,Serie A,48330000.0,2022/ 2023,lecce,l lecce l
